********************************************************************************
LOGGING TIME: 20201015_112325
CLIENT IP: 127.0.1.1
USERNAME: rajesh
OS: Linux
ARCHITECTURE: amd64
VERSION: 5.4.0-48-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MR, 1, 1602022801468
MC, 1, 0
MM, 1028, 467, 215
MM, 1032, 476, 8
MM, 1041, 491, 8
MM, 1053, 507, 9
MM, 1062, 520, 7
MM, 1071, 533, 8
MM, 1080, 546, 18
MM, 1089, 556, 0
MM, 1096, 571, 6
MM, 1103, 581, 8
MM, 1112, 597, 8
MM, 1116, 610, 8
MM, 1125, 629, 8
MM, 1134, 648, 8
MM, 1142, 669, 8
MM, 1150, 687, 8
MM, 1156, 705, 8
MM, 1162, 720, 8
MM, 1166, 736, 8
MM, 1169, 751, 8
MM, 1173, 765, 8
MM, 1174, 779, 8
MM, 1178, 789, 8
MM, 1178, 798, 8
MM, 1178, 808, 8
MM, 1178, 813, 8
MM, 1178, 821, 8
MM, 1175, 827, 8
MM, 1171, 832, 8
MM, 1164, 839, 8
MM, 1158, 843, 8
MM, 1150, 847, 8
MM, 1143, 850, 8
MM, 1132, 853, 8
MM, 1116, 858, 8
MM, 1104, 860, 8
MM, 1088, 862, 8
MM, 1071, 864, 9
MM, 1055, 864, 7
MM, 1038, 864, 8
MM, 1021, 864, 8
MM, 1004, 864, 8
MM, 985, 864, 8
MM, 965, 864, 8
MM, 944, 864, 8
MM, 919, 864, 8
MM, 896, 862, 8
MM, 874, 855, 8
MM, 857, 851, 8
MM, 846, 846, 8
MM, 841, 845, 9
MM, 838, 844, 7
MM, 834, 842, 8
MM, 831, 839, 8
MM, 827, 838, 8
MM, 823, 836, 8
MM, 817, 832, 8
MM, 812, 830, 8
MM, 808, 827, 8
MM, 802, 824, 8
MM, 800, 821, 8
MM, 795, 819, 8
MM, 792, 816, 9
MM, 788, 812, 8
MM, 785, 810, 8
MM, 780, 806, 7
MM, 778, 803, 9
MM, 776, 798, 8
MM, 773, 796, 7
MM, 772, 794, 9
MM, 770, 792, 8
MM, 768, 789, 8
MM, 763, 784, 8
MM, 761, 779, 7
MM, 756, 773, 9
MM, 750, 766, 8
