********************************************************************************
LOGGING TIME: 20201026_195721
CLIENT IP: 192.168.43.207
USERNAME: Dell5567
OS: Windows 10
ARCHITECTURE: amd64
VERSION: 10.0
RESOLUTION: 1366.0 768.0
********************************************************************************
MP, 1, 1602022801489
MD, 757, 276, 136
MR, 1, 8
MM, 757, 277, 64
MM, 756, 277, 8
MM, 755, 278, 8
MM, 755, 278, 8
MM, 754, 280, 16
MM, 754, 281, 24
MM, 752, 282, 16
MM, 752, 283, 7
MM, 751, 285, 9
MM, 749, 286, 8
MM, 748, 288, 8
MM, 747, 290, 7
MM, 745, 293, 9
MM, 742, 296, 8
MM, 740, 301, 8
MM, 736, 306, 8
MM, 730, 313, 8
MM, 725, 319, 7
MM, 719, 328, 9
MM, 711, 338, 8
MM, 703, 348, 8
MM, 694, 359, 8
MM, 686, 371, 8
MM, 679, 382, 7
MM, 674, 392, 9
MM, 669, 400, 8
MM, 666, 406, 8
MM, 663, 412, 8
MM, 660, 419, 8
MM, 657, 426, 8
MM, 655, 435, 8
MM, 651, 442, 8
MM, 649, 449, 8
MM, 648, 457, 8
MM, 647, 465, 8
MM, 645, 475, 8
MM, 644, 483, 8
MM, 642, 491, 8
MM, 640, 501, 8
MM, 637, 510, 8
MM, 634, 521, 8
MM, 629, 531, 8
MM, 625, 541, 8
MM, 621, 551, 8
MM, 616, 560, 8
MM, 613, 569, 8
MM, 609, 577, 8
MM, 605, 584, 8
MM, 601, 590, 8
MM, 598, 595, 8
MM, 594, 600, 8
MM, 590, 605, 8
MM, 586, 610, 8
MM, 584, 614, 8
MM, 581, 617, 8
MM, 580, 619, 8
MM, 578, 621, 8
MM, 578, 623, 8
MM, 577, 625, 8
MM, 575, 628, 8
MM, 573, 631, 8
MM, 571, 634, 8
MM, 569, 637, 8
MM, 567, 639, 8
MM, 565, 642, 8
MM, 563, 644, 8
MM, 561, 646, 8
MM, 560, 647, 8
MM, 558, 649, 7
MM, 556, 650, 9
MM, 554, 651, 8
MM, 552, 653, 7
MM, 549, 655, 8
MM, 547, 656, 9
MM, 545, 657, 8
MM, 543, 658, 8
MM, 542, 659, 7
MM, 541, 660, 8
MM, 539, 661, 8
MM, 538, 661, 8
MM, 536, 662, 8
MM, 534, 663, 8
MM, 531, 663, 8
MM, 529, 665, 8
MM, 526, 666, 9
MM, 523, 668, 7
MM, 519, 670, 8
MM, 516, 671, 8
MM, 513, 674, 8
MM, 509, 676, 9
MM, 505, 678, 8
MM, 501, 681, 8
MM, 498, 684, 8
MM, 495, 686, 8
MM, 492, 688, 8
MM, 491, 690, 8
MM, 489, 691, 8
MM, 488, 693, 8
MM, 488, 694, 8
MM, 487, 695, 8
MM, 487, 695, 8
MM, 485, 696, 64
MM, 483, 697, 15
MM, 481, 697, 16
MM, 480, 698, 9
MM, 477, 699, 7
MM, 476, 699, 8
MM, 475, 701, 9
MM, 473, 702, 8
MM, 472, 702, 8
MM, 471, 703, 8
MM, 470, 703, 8
MM, 469, 704, 8
MM, 467, 705, 8
MM, 466, 706, 8
MM, 465, 708, 8
MM, 463, 709, 8
MM, 462, 710, 8
MM, 461, 711, 8
MM, 460, 712, 8
MM, 460, 714, 8
MM, 459, 715, 8
MM, 459, 716, 16
MM, 459, 717, 8
MM, 459, 718, 8
MM, 459, 718, 8
MM, 458, 719, 8
MM, 458, 721, 23
MM, 458, 722, 8
MM, 457, 724, 17
MM, 457, 725, 8
MM, 456, 726, 8
MM, 456, 727, 8
MM, 455, 728, 8
MM, 454, 729, 16
MM, 454, 730, 8
MM, 453, 730, 16
MM, 451, 731, 8
MM, 450, 732, 8
MM, 449, 733, 8
MM, 448, 734, 8
MM, 447, 734, 8
MM, 447, 735, 8
MM, 446, 736, 8
MM, 446, 736, 8
MM, 444, 737, 8
MM, 443, 737, 8
MM, 442, 738, 8
MM, 440, 739, 8
MM, 440, 739, 8
MM, 439, 740, 8
MM, 438, 741, 8
MM, 437, 741, 8
MM, 437, 742, 8
MM, 437, 742, 24
MM, 437, 743, 7
MM, 437, 743, 9
MM, 437, 744, 16
MM, 436, 745, 8
MM, 436, 745, 32
MM, 436, 746, 8
MM, 436, 746, 32
MM, 435, 747, 16
MM, 435, 747, 16
MM, 434, 748, 8
MM, 433, 749, 16
MM, 433, 749, 8
MM, 432, 749, 503
MM, 431, 749, 8
MM, 431, 749, 152
MM, 431, 748, 17
MM, 431, 747, 8
MM, 431, 746, 8
MM, 431, 745, 8
MM, 431, 741, 8
MM, 431, 738, 8
MM, 432, 735, 8
MM, 433, 733, 8
MM, 435, 730, 8
MM, 436, 727, 8
MM, 437, 724, 8
MM, 438, 721, 8
MM, 438, 718, 8
MM, 440, 715, 8
MM, 442, 712, 8
MM, 444, 707, 8
MM, 446, 702, 8
MM, 450, 696, 8
MM, 455, 689, 8
MM, 459, 683, 7
MM, 464, 676, 9
MM, 469, 668, 8
MM, 474, 662, 8
MM, 478, 656, 8
MM, 482, 649, 8
MM, 486, 643, 8
MM, 489, 638, 8
MM, 491, 635, 8
MM, 493, 633, 8
MM, 495, 631, 8
MM, 496, 628, 8
MM, 497, 627, 8
MM, 498, 625, 8
MM, 500, 623, 8
MM, 501, 623, 8
MM, 502, 622, 7
MM, 503, 621, 9
MM, 503, 621, 8
MM, 504, 620, 8
MM, 505, 620, 8
MM, 505, 619, 8
MM, 506, 619, 8
MM, 507, 618, 8
MM, 508, 617, 8
MM, 510, 616, 8
MM, 511, 614, 8
MM, 512, 614, 8
MM, 514, 612, 8
MM, 515, 611, 8
MM, 516, 609, 8
MM, 517, 609, 8
MM, 518, 608, 8
MM, 519, 608, 64
MM, 519, 608, 48
MM, 519, 608, 16
MM, 519, 609, 8
MM, 519, 610, 8
MM, 519, 611, 8
MM, 519, 614, 7
MM, 519, 618, 8
MM, 518, 621, 8
MM, 516, 624, 8
MM, 514, 628, 9
MM, 513, 631, 8
MM, 511, 634, 7
MM, 510, 637, 9
MM, 508, 639, 8
MM, 507, 642, 8
MM, 506, 643, 8
MM, 505, 645, 8
MM, 504, 647, 8
MM, 504, 647, 8
MM, 503, 648, 8
MM, 503, 648, 168
MM, 503, 648, 24
MM, 503, 647, 8
MM, 503, 647, 8
MM, 503, 646, 8
MM, 503, 645, 8
MM, 503, 645, 8
MM, 503, 644, 7
MM, 503, 642, 9
MM, 503, 642, 8
MM, 503, 641, 8
MM, 503, 640, 8
MM, 503, 639, 8
MM, 503, 639, 8
